手続名称,書類正式名称,担当課,担当係,場所,用途,留意事項,電話番号,URL,電子申請
審査請求,審査請求書（様式自由）,文書法務課,文書法務担当係,本庁舎6階,行政不服審査法に基づき、行政庁の処分等により自己の権利または利益を侵害された者が審査庁に不服を申し立てる手続,（ある場合は）法人の代表者等の資格を証明する書類、委任状、処分通知の写しなどが必要,(03)5984-2643,https://www.city.nerima.tokyo.jp/kusei/fufuku/sinsaseikyuu.html,
審査請求,法律により記載要件が定められており、法施行令により審査請求書の例示がある。,情報公開課,,西庁舎10階,行政不服審査法に基づき、行政庁の処分等により自己の権利または利益を侵害された者が審査庁に不服を申し立てる手続,,(03)5984-4513,https://www.city.nerima.tokyo.jp/kusei/johokokai/johokokai/gaiyo.html,
公文書公開請求,公文書公開請求書,情報公開課,,西庁舎10階,公文書の公開を求める旨の請求手続き,,(03)5984-4513,https://www.city.nerima.tokyo.jp/kusei/johokokai/johokokai/gaiyo.html,https://www.city.nerima.tokyo.jp/kusei/johokokai/kokai/index.html
寄付金申込,寄付申込書,経理用地課,管財係,東庁舎3階,寄付金の申込み、寄付金納付,申込書での寄付を希望の方は管財係へ連絡,(03)5984-2807,https://www.city.nerima.tokyo.jp/kurashi/kuseisanka/kifu/kifunogoannai.html,https://www.furusato-tax.jp/city/product/13120
男女共同参画センターの施設利用申請,,人権・男女共同参画課,男女共同参画担当係,東庁舎5階,施設および備付器具の利用についての申請（利用者から指定管理者への申請）,,(03)5984-4518,https://www.city.nerima.tokyo.jp/shisetsu/bunka/sankakucenter/yell.html,https://www.city.nerima.tokyo.jp/kankomoyoshi/shogaigakushu/shisetsu_yoyaku/shisetsu_yoyaku.html
会計年度任用職員採用選考,登録申込書,職員課,会計年度職員係,本庁舎6階,会計年度任用職員採用選考の募集,,(03)5984-1601,https://www.city.nerima.tokyo.jp/kusei/saiyo/kaikei.html,https://www.shinsei.elg-front.jp/tokyo2/navi/procInfo.do?fromAction=4&govCode=13120&keyWord=%E4%BC%9A%E8%A8%88%E5%B9%B4%E5%BA%A6&procCode=11006557
転入届,転入・転居届,,,各区民事務所,区外から練馬区へ引っ越した際に、区へ転入する旨を届け出る手続き,窓口に来所する方の本人確認書類と転出証明書が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyu.html,
転居届,転入・転居届,,,各区民事務所,練馬区内で引っ越した際に、区へ転居する旨を届け出る手続き,窓口に来所する方の本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tenkyo.html,
転出届,転出届,,,各区民事務所,区外へ引っ越した際に、区へ転出する旨を届け出る手続き,窓口に来所する方の本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tenshutsu.html,https://myna.go.jp/
世帯変更届,世帯変更届,,,各区民事務所,世帯構成が変わった際に、区へその変更を申し出る手続き,窓口に来所する方の本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/setaihenko.html,
住民票の写しの交付,住民票の写し等の交付申請書,,,各区民事務所,練馬区内に住民票がある方の、住民票の写しを交付する手続き,窓口に来所する方の本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/utsushi/madogutikoufu-honnin.html,https://logoform.jp/form/G2rU/346134
住民票記載事項証明書の交付,住民票の写し等の交付申請書,,,各区民事務所,練馬区内に住民票がある方の住民票の記載事項に関する証明書を交付する手続き,窓口に来所する方の本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/utsushi/shomei.html,https://logoform.jp/form/G2rU/346140
不在住証明書の交付,住民票の写し等の交付申請書,,,各区民事務所,該当住所に該当者が住んでいないことの証明書を交付する手続き,自署が不可能な場合には認印が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/utsushi/fuzaiju.html,
広域交付住民票の写しの交付,広域交付住民票の交付申請書,,,各区民事務所,練馬区外に住民票がある方の、住民票の写しを交付する手続き,本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/utsushi/koikikofu_kumingai.html,
住民基本台帳閲覧申出,住民基本台帳閲覧申出書,戸籍住民課,住民記録係,本庁舎2階,住民基本台帳の一部の写しを閲覧する手続き,必要書類は、住民記録係へお問い合わせください,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/utsushi/ichiran.html,
住民票コード変更請求,住民票コード変更請求書,,,各区民事務所,住民票コードを変更する手続き,本人（または法定代理人）の官公署発行の証明書が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/jukinet/code_henko.html,
印鑑の登録および印鑑登録証の交付,印鑑登録申請書,,,各区民事務所,印鑑の登録を行い、その登録を証明する印鑑登録証を交付する手続き,本人確認書類が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/inkan/inkantoroku.html,
印鑑登録証明の交付,印鑑登録証明書交付申請書,,,各区民事務所,登録された印鑑の証明書を交付する手続き,印鑑登録証が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/inkan/shomeisho.html,
印鑑登録の抹消,印鑑登録廃止亡失申請書,戸籍住民課,住民記録係,本庁舎2階,既に行っている印鑑登録を廃止する手続き,本人確認書類と印鑑登録証が必要,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/inkan/inkantoroku.html,
マイナンバーカード交付申請書の再発行,マイナンバーカードカード交付申請書依頼書,戸籍住民課,マイナンバーカード交付管理係,西庁舎1階;各区民事務所,マイナンバーカード交付申請書を再交付する手続き,,(03)5984-4595,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/shinsei/shinseihoho.html,
マイナンバーカード券面記載事項変更届,マイナンバーカード 券面記載事項変更届,,,各区民事務所,マイナンバーカードの券面記載事項や内部データに変更があった際に、記載変更を申し出る手続き,マイナンバーカードが必要,,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/koshin/henko.html,
在留期間変更に伴うマイナンバーカードの有効期間変更届,マイナンバーカード在留期間更新に伴う有効期間変更申請書,戸籍住民課,住民記録係,本庁舎2階,外国人の在留期間変更に伴い、マイナンバーカードの有効期間を変更する手続き,マイナンバーカードが必要,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/koshin/gaikokujin.html,
マイナンバーカード紛失・廃止届,マイナンバーカード紛失・廃止届,戸籍住民課,マイナンバーカード交付管理係,西庁舎1階;各区民事務所,マイナンバーカードの紛失と廃止を申し出る手続き,,(03)5984-4595,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/sonota/funshitsu.html,
マイナンバーカード暗証番号変更・再設定,マイナンバーカード暗証番号変更・再設定申請書,戸籍住民課,住民記録係,本庁舎2階,マイナンバーカード本体に係る暗証番号を変更または再設定する手続き,マイナンバーカードと本人確認書類が必要,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/ansho/shokika_kohteki.html,
電子証明書の新規発行・更新申請,署名用電子証明書／利用者証明用電子証明書　新規発行／更新申請書,戸籍住民課,住民記録係,本庁舎2階,電子証明書の新規発行または更新の申請をする手続き,マイナンバーカードが必要,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/mynumber/service/densyo.html,
電子証明書の暗証番号変更・再設定申請,電子証明書暗証番号変更・再設定申請書,戸籍住民課,住民記録係,本庁舎2階,電子証明書の暗証番号の変更または再設定を申請する手続き,マイナンバーカードと本人確認書類が必要,(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/mynumber/mynumber_card/ansho/shokika_kohteki.html,
旧氏の記載等請求,旧氏の記載等請求,,,各区民事務所,住民票に旧氏（旧姓）を記載する手続き,手続に来られる方の確認書類、戸籍謄本等が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/kyuuji.html,
中長期在留者の新規上陸後の住居地届出,住居地届出書,,,各区民事務所,新規に上陸許可を受けた中長期在留者が、住居地を定めた旨を届け出る手続,在留カードが必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyukokugai.html,
中長期在留者の在留資格変更等に伴う住居地届出,住居地届出書,,,各区民事務所,中長期在留者以外の者として本邦に在留していた者が、新たに中長期在留者となり住居地を届け出る手続,在留カードが必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/foreigner/sikakusyutoku.html,
中長期在留者による住居地の変更届出,住居地届出書,,,各区民事務所,中長期在留者が住居地を変更した旨を届け出る手続,在留カードが必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tenkyo.html,
特別永住者が住居地を定めた場合の住居地届出,住居地届出書,,,各区民事務所,住居地記載のない特別永住者証明書を持つ特別永住者が、住居地を定めた旨を届け出る手続,特別永住者証明書が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tennyukokugai.html,
特別永住者による住居地の変更届出,住居地届出書,,,各区民事務所,特別永住者が住居地を変更した旨を届け出る手続,特別永住者証明書が必要,,https://www.city.nerima.tokyo.jp/kurashi/koseki/kiroku/tenkyo.html,
特別永住者証明書の住居地以外の記載事項の変更届出,特別永住者証明書記載事項変更届出書,戸籍住民課,住民記録係,本庁舎2階,特別永住者証明書の記載事項である、「氏名」「生年月日」「性別」「国籍・地域」に変更が生じた旨を届け出る手続,"・旅券の写し（所持する場合）
・理由書（旅券を提示できない場合）
・写真（16歳以上）
・変更を生じたことを証する資料
・特別永住者証明書の写し",(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/foreigner/tokubetueijyuu.html,
特別永住者証明書の有効期間の更新申請,特別永住者証明書有効期間更新申請書,戸籍住民課,住民記録係,本庁舎2階,特別永住者証明書の有効期間の更新申請をする手続,"・旅券の写し（所持する場合）
・理由書（旅券を提示できない場合）
・写真
・特別永住者証明書の写し",(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/foreigner/tokubetueijyuu.html,
紛失等による特別永住者証明書の再交付申請,特別永住者証明書再交付申請書,戸籍住民課,住民記録係,本庁舎2階,紛失、盗難、滅失その他の事由により特別永住者証明書の所持を失ったときに、再交付の申請をする手続,"・旅券の写し（所持する場合）
・理由書（旅券を提示できない場合）
・写真（16歳以上）
・特別永住者証明書の所持を失ったことを証する資料",(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/foreigner/tokubetueijyuu.html,
汚損等による特別永住者証明書の再交付申請,特別永住者証明書再交付申請書,戸籍住民課,住民記録係,本庁舎2階,所持する特別永住者証明書が著しく毀損もしくは汚損、または搭載されたICの記録が毀損した場合に、再交付の申請をする手続,"・旅券の写し（所持する場合）
・理由書（旅券を提示できない場合）
・写真（16歳以上）
・特別永住者証明書の写し",(03)5984-2796,https://www.city.nerima.tokyo.jp/kurashi/koseki/foreigner/tokubetueijyuu.html,
新築建物、その他工作物の住居番号付定,建物その他工作物新築届,戸籍住民課,住居表示係,本庁舎2階,新築、改築建物に住居番号を付定する手続き,,(03)5984-4526,https://www.city.nerima.tokyo.jp/kurashi/sumai/takuchi/jutaku_no.html,
住居表示変更証明書発行事務,住居表示変更証明書,戸籍住民課,住居表示係,本庁舎2階,住居表示が実施されたことにより、住所が変わったことの証明書,各区民事務所でも受付,(03)5984-4526,https://www.city.nerima.tokyo.jp/kurashi/sumai/takuchi/jutaku_shomeisho.html,
戸籍全部事項証明書・戸籍個人事項証明書の交付,戸籍証明書の請求書,戸籍住民課,戸籍第一係,本庁舎2階,練馬区が本籍の方の戸籍全部事項証明書・戸籍個人事項証明書を交付する手続き,窓口に来られる方の本人確認ができるものが必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/shomei/tohon.html,https://logoform.jp/form/G2rU/346143
戸籍全部事項証明書・戸籍個人事項証明書以外の戸籍証明書の交付,戸籍証明書の請求書,戸籍住民課,戸籍第一係,本庁舎2階,練馬区が本籍の方の受理証明書、身分証明書などの交付,窓口に来られる方の本人確認ができるものが必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/shomei/tohon.html,https://logoform.jp/form/G2rU/346143
出生届,出生届,戸籍住民課,戸籍第一係,本庁舎2階,出生時に届け出る手続き,母子健康手帳が必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/shussei25.html,
婚姻届,婚姻届,戸籍住民課,戸籍第一係,本庁舎2階,婚姻をする際の手続き,・戸籍謄本（戸籍全部事項証明書）または戸籍抄本（戸籍個人事項証明書）・本人確認できるもの,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/konin.html,
離婚届,離婚届,戸籍住民課,戸籍第一係,本庁舎2階,離婚をする際の手続き,本人確認のできるもの他が必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/rikon.html,
死亡届,死亡届,戸籍住民課,戸籍第一係,本庁舎2階,死亡した際の手続き,死亡診断書が必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/shibo.html,
転籍届,転籍届,戸籍住民課,戸籍第一係,本庁舎2階,転籍をする際の手続き,,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/tenseki.html,
改葬許可申請,改葬許可申請書,戸籍住民課,戸籍第一係,本庁舎2階,収蔵した焼骨を他の墳墓または納骨堂へ移す際に届け出る手続き,墓地の受入証明書が必要,(03)5984-4530,https://www.city.nerima.tokyo.jp/kurashi/koseki/todokede/kaisou.html,
自動車臨時運行許可申請,自動車臨時運行許可申請書,,,各区民事務所,未登録や車検切れなどの自動車について、新規登録や新規検査の申請のため運輸支局へ回送する場合等に限り運行を許可する申請手続,"・自動車検査証等自動車を確認するもの
・自動車損害賠償責任保険証明書
・本人確認書類",,https://www.city.nerima.tokyo.jp/kurashi/sumai/baiku/kari_nan.html,
軽自動車税種別割減免申請,軽自動車税種別割減免申請書,税務課,税証明・軽自動車税担当,本庁舎4階,軽自動車税種別割の減免を申請する場合の手続,"所有者により、以下の書類から１点以上が必要
・公的機関が発行する罹災証明書または警察署長の発行する被害受理証明書
・総合福祉事務所長が発行する生活保護受給証明書・納税通知書
・練馬区障害者日中活動系サービス推進事業運営費補助金交付要綱第6条第2項の補助金交付通知書の写し
・消防署長または警察署長の発行する軽自動車等の使用状況に関する証明書
・身体障害者手帳、戦傷病者手帳、愛の手帳、療育手帳、精神障害者保健福祉手帳および自立支援医療受給者証等
・運転者の運転免許証
・二輪の小型自動車の場合は、自動車検査証
・車両の構造がわかる書類(自動車検査証または写真)",(03)5984-4536,https://www.city.nerima.tokyo.jp/kurashi/zei/genmen/genmen/kcar.html,
軽自動車税種別割納税証明書（一般用）（車検用）の交付申請,軽自動車税種別割種別割納税証明書交付申請書,税務課,税証明・軽自動車税担当,本庁舎4階,軽自動車税種別割納税証明書（一般用）（車検用）の交付を申請する手続,,(03)5984-4536,https://www.city.nerima.tokyo.jp/kurashi/zei/shomei/keijidousha_shoumei/madoguti-shinsei.html,
相続人代表者指定（変更）届,相続人代表者指定（変更）届,税務課,"区税第一?第四係
区税調整係",本庁舎4階,被相続人に係る徴収金の賦課徴収（滞納処分を除く）および還付に関する書類を受領する代表者を届け出あるいは既に届け出ている相続人代表者を変更する手続き,申請者の本人確認書類の写しが必要,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/genmen/nakunararetakata-zei.html,
特定配当等・特定株式等譲渡所得金額申告,特定配当等・特定株式等譲渡所得金額申告書,税務課,"区税第一?第四係
区税調整係",本庁舎4階,申告不要の上場株式等譲渡所得等・配当所得等で所得税と住民税で異なる課税方式を選択する場合の手続き,年間取引報告書の写し等内容確認ができる書類が必要,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/jyuminzei/tochikabushiki/kabusiki.html,
特別区民税・都民税減免申請,特別区民税・都民税　減免申請書,税務課,"区税第一?第四係
区税調整係",本庁舎4階,特別区民税・都民税の減免を申請する場合の手続き,保護証明書、り災証明書等が必要,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/genmen/genmen/zeigenmen.html,
特別区民税・都民税　送付先変更届出,特別区民税・都民税　送付先変更届出書,税務課,"区税第一?第四係
区税調整係",本庁舎4階,事情により、特別区民税・都民税に係る書類の送付先を住民登録地と異なる場所に変更する手続き,申請者の本人確認書類の写し、成年後見人の登記事項証明書等が必要,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/genmen/nouzeikanrinin.html,
住民税申告,特別区民税・都民税申告書,税務課,"区税第一?第四係
区税調整係",本庁舎4階,区民が区へ所得や控除、扶養親族等を申告する手続き,本人確認書類の写し、源泉徴収票等、申告内容の証明書類,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/zeishinkoku/shinkoku.html,
納税管理人申告,納税管理人申告届,税務課,"区税第一?第四係
区税調整係",本庁舎4階,納税管理人を定める申請手続き,申請者の本人確認書類の写し、成年後見人の登記事項証明書等,(03)5984-4537,https://www.city.nerima.tokyo.jp/kurashi/zei/genmen/nouzeikanrinin.html,
軽自動車税（種別割）申告（報告）書兼標識交付申請,軽自動車税（種別割）申告（報告）書兼標識交付申請書,税務課,税証明・軽自動車税担当,本庁舎4階,原動機付自転車等の登録を申請する手続,"以下のいずれかが必要
・販売証明書
・廃車申告受付書
・譲渡証明書
・標識交付証明書",(03)5984-4536,https://www.city.nerima.tokyo.jp/kurashi/zei/kei-jidousha/toroku_haisha/shasyubetu-madoguchi.html,
軽自動車税（種別割）廃車申告書兼標識返納,軽自動車税（種別割）廃車申告書兼標識返納書,税務課,税証明・軽自動車税担当,本庁舎4階,原動機付自転車等の廃車を申請する手続,"標識交付証明書
標識",(03)5984-4536,https://www.city.nerima.tokyo.jp/kurashi/zei/kei-jidousha/toroku_haisha/shasyubetu-madoguchi.html,
住民税課税（非課税・納税）証明の交付申請,特別区民税・都民税（住民税）証明書交付申請書,税務課,区税事務係,本庁舎4階,住民税課税（非課税）証明書および住民税納税証明書の交付を申請する手続,,(03)5984-4536,https://www.city.nerima.tokyo.jp/kurashi/zei/shomei/juuminzei_shoumei/naiyou.html,
特別区民税・都民税（普通徴収分）口座振替依頼書,特別区民税・都民税（普通徴収分）口座振替依頼書,収納課,個人収納係,本庁舎3階,特別区民税・都民税の口座振替による納付を開始する際に、口座情報および銀行印を届け出る手続,特別区民税・都民税（普通徴収分）口座振替依頼書,(03)5984-4542,https://www.city.nerima.tokyo.jp/dl/zei/zei_mosikomi.html,
国民健康保険料還付請求,国民健康保険料還付請求書,収納課,こくほ収納係,本庁舎3階,国民健康保険料に過誤納金が発生した際に還付を行うための申請,世帯主と口座名義人が異なる場合は、委任状もしくは申立書が必要,(03)5984-4559,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kokuhokanpu.html,
国民健康保険料口座振替依頼書,国民健康保険料口座振替依頼書,収納課,こくほ収納係,本庁舎3階,国民健康保険料の口座振替による納付を開始する際に、口座情報および銀行印を届け出る手続,,(03)5984-4559,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kozafurikae.html,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/webkoufuri.html
国民健康保険料納入済額証明交付申請書,"国民健康保険料納入済額証明
交付申請書",収納課,こくほ収納係,本庁舎3階,国民健康保険料の賦課額と納付額の証明書の交付を申請する手続き,定額小為替証書（交付手数料とし通数分の金額）,(03)5984-4559,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokuminkenkohoken/hoken_hokenryo/kokuho_nouhusyoumei.html,
送付先設定の届出,後期高齢者医療に関する送付物の送付先変更依頼書,国保年金課,後期高齢者資格係,本庁舎2階,被保険者住所以外の宛名・住所に各種証や通知を送付するための届出,"【共通】
被保険者本人の被保険者証の写し
【親族等に送る場合】
受取人（送付先となる方）の身分証明書の写し
【病院や施設に送る場合】
入院･入所していることが確認できる書類
【成年後見人】
・受取人（成年後見人等）の身分証明書の写し
・審判書または登記事項証明書の写し
【一時的に住居を移しているため】
送付先住所および被保険者本人の名前が記載されているもの（公共料金の請求書・消印のある郵便物など）の写し２点",(03)5984-4587,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/soufusaki.html,
後期高齢者医療保険料の還付,後期高齢者医療保険料還付金請求書兼口座振替依頼書,国保年金課,後期高齢者保険料係,本庁舎2階,保険料の過誤納が生じた際に、本人に保険料を返金する。,,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
後期高齢者医療保険料の減免申請,後期高齢者医療保険料減免申請書,国保年金課,後期高齢者保険料係,本庁舎2階,災害、拘禁、収入減少等による保険料の減免申請手続。,収入減少、災害等の証明書類が必要,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
後期高齢者医療保険料の納付方法の選択,後期高齢者医療保険料口座振替（自動払込）依頼書,国保年金課,後期高齢者保険料係,本庁舎2階,保険料の納付方法を口座引き落としに選択する、登録口座を変更する、または口座引き落としを中止する手続。,,(03)5984-4588,https://www.city.nerima.tokyo.jp/kurashi/nenkinhoken/kokikorei/hokenryo.html,
